sales_agent,account,deal_stage,engage_at,close_at,close_value,year_founded_at,revenue,number_of_employees,sales_price,sales_cycle_duration,company_size,company_age,company_age_category,is_won,engagement_month,engagement_quarter,product_complexity,agent_conversion_rate,agent_avg_deal_value,sector_employment,sector_entertainment,sector_finance,sector_marketing,sector_medical,sector_retail,sector_services,sector_software,sector_technolgy,sector_telecommunications,office_location_Belgium,office_location_Brazil,office_location_China,office_location_Germany,office_location_Italy,office_location_Japan,office_location_Jordan,office_location_Kenya,office_location_Korea,office_location_Norway,office_location_Panama,office_location_Philipines,office_location_Poland,office_location_Romania,office_location_United States,regional_office_Central,regional_office_East,regional_office_West,product_GTK 500,product_GTX Basic,product_GTX Plus Basic,product_GTX Plus Pro,product_GTX Pro,product_MG Advanced,product_MG Special,series_GTK,series_GTX,series_MG
Darcel Schlecht,Warephase,Won,2016-11-08,2017-03-26,561.0,1997.0,2041.73,5276.0,550,138.0,Large,27.0,Established,1,11.0,4.0,Basic,0.5693311582381729,2085.3779385171792,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Kami Bicknell,Zoomit,Won,2016-11-10,2017-03-23,590.0,1992.0,324.19,978.0,550,133.0,Small,32.0,Established,1,11.0,4.0,Basic,0.5780730897009967,1163.4411764705883,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Maureen Marcano,Ganjaflex,Engaging,2016-11-10,,,1995.0,5158.71,17479.0,3393,,Enterprise,29.0,Established,0,11.0,4.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
Versie Hillebrand,Bioholding,Won,2016-11-10,2017-03-12,61.0,2012.0,587.34,1356.0,55,122.0,Medium,12.0,Mature,1,11.0,4.0,Basic,0.6027397260273972,710.9583333333334,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
Violet Mclelland,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,1989.0,3838.39,8274.0,5482,121.0,Large,35.0,Established,0,11.0,4.0,Complex,0.5727699530516432,639.5388601036269,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
Elease Gluck,Cheers,Won,2016-11-11,2017-03-05,58.0,1993.0,4269.9,6472.0,55,114.0,Large,31.0,Established,1,11.0,4.0,Basic,0.5555555555555556,2295.1984126984125,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
Maureen Marcano,Labdrill,Won,2016-11-11,2017-03-14,4899.0,1985.0,2741.37,9226.0,4821,123.0,Large,39.0,Established,1,11.0,4.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Rosie Papadopoulos,Zotware,Lost,2016-11-11,2017-03-01,0.0,1979.0,4478.47,13809.0,3393,110.0,Enterprise,45.0,Established,0,11.0,4.0,Complex,0.5735294117647058,1902.2231404958677,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Versie Hillebrand,dambase,Won,2016-11-11,2017-03-03,67.0,1995.0,2173.98,2928.0,55,112.0,Medium,29.0,Established,1,11.0,4.0,Basic,0.6027397260273972,710.9583333333334,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
James Ascencio,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,1993.0,7537.24,20293.0,4821,114.0,Enterprise,31.0,Established,1,11.0,4.0,Complex,0.6053811659192825,2007.4417475728155,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Kary Hendrixson,Fasehatice,Won,2016-11-12,2017-03-19,578.0,1990.0,4968.91,7523.0,550,127.0,Large,34.0,Established,1,11.0,4.0,Basic,0.5618279569892473,1356.113432835821,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Reed Clapper,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,1996.0,1100.04,2822.0,550,109.0,Medium,28.0,Established,1,11.0,4.0,Basic,0.6540084388185654,1849.5189873417721,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
Rosalina Dieter,Green-Plus,Won,2016-11-12,2017-03-03,635.0,2003.0,692.19,1922.0,550,111.0,Medium,21.0,Established,1,11.0,4.0,Basic,0.5714285714285714,2140.0272727272727,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Wilburn Farren,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,1996.0,439.21,792.0,3393,115.0,Small,28.0,Established,1,11.0,4.0,Complex,0.6707317073170732,1995.4430379746836,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Garret Kinder,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,1984.0,3027.46,9516.0,1096,121.0,Large,40.0,Established,1,11.0,4.0,Intermediate,0.6097560975609756,1607.9105691056911,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
Versie Hillebrand,Zumgoity,Won,2016-11-13,2017-03-09,60.0,1984.0,441.08,1210.0,55,116.0,Medium,40.0,Established,1,11.0,4.0,Basic,0.6027397260273972,710.9583333333334,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Anna Snelling,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,2007.0,86.68,187.0,55,136.0,Small,17.0,Mature,0,11.0,4.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Darcel Schlecht,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,1987.0,1698.2,3798.0,550,114.0,Medium,37.0,Established,0,11.0,4.0,Basic,0.5693311582381729,2085.3779385171792,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Darcel Schlecht,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,1985.0,375.43,1190.0,1096,126.0,Medium,39.0,Established,1,11.0,4.0,Intermediate,0.5693311582381729,2085.3779385171792,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Marty Freudenburg,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,2007.0,894.33,1635.0,1096,125.0,Medium,17.0,Mature,1,11.0,4.0,Intermediate,0.5350877192982456,1501.0051546391753,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
Darcel Schlecht,Conecom,Won,2016-11-16,2017-03-14,3725.0,2005.0,1520.66,1806.0,3393,118.0,Medium,19.0,Mature,1,11.0,4.0,Complex,0.5693311582381729,2085.3779385171792,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Kary Hendrixson,Golddex,Won,2016-11-16,2017-03-31,559.0,2008.0,52.5,165.0,550,135.0,Small,16.0,Mature,1,11.0,4.0,Basic,0.5618279569892473,1356.113432835821,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Rosalina Dieter,Plexzap,Lost,2016-11-16,2017-03-11,0.0,2001.0,2437.85,4874.0,550,115.0,Medium,23.0,Established,0,11.0,4.0,Basic,0.5714285714285714,2140.0272727272727,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Darcel Schlecht,Rundofase,Lost,2016-11-17,2017-03-21,0.0,1983.0,1008.06,1238.0,1096,124.0,Medium,41.0,Established,0,11.0,4.0,Intermediate,0.5693311582381729,2085.3779385171792,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
James Ascencio,Sonron,Won,2016-11-17,2017-03-05,4667.0,1999.0,1699.85,5108.0,5482,108.0,Large,25.0,Established,1,11.0,4.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
Marty Freudenburg,Finhigh,Won,2016-11-17,2017-03-17,903.0,2006.0,1102.43,1759.0,1096,120.0,Medium,18.0,Mature,1,11.0,4.0,Intermediate,0.5350877192982456,1501.0051546391753,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Maureen Marcano,Finjob,Won,2016-11-17,2017-03-13,1180.0,1988.0,2059.9,3644.0,1096,116.0,Medium,36.0,Established,1,11.0,4.0,Intermediate,0.6506550218340611,1645.0469483568074,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
Niesha Huffines,Ron-tech,Won,2016-11-17,2017-03-05,487.0,1992.0,3922.42,6837.0,550,108.0,Large,32.0,Established,1,11.0,4.0,Basic,0.525,1011.2057142857143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Lajuana Vencill,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,1987.0,1698.2,3798.0,3393,106.0,Medium,37.0,Established,1,11.0,4.0,Complex,0.5,842.5627705627705,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Darcel Schlecht,Funholding,Lost,2016-11-19,2017-03-17,0.0,1991.0,2819.5,7227.0,4821,118.0,Large,33.0,Established,0,11.0,4.0,Complex,0.5693311582381729,2085.3779385171792,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
Darcel Schlecht,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,2007.0,86.68,187.0,3393,119.0,Small,17.0,Mature,1,11.0,4.0,Complex,0.5693311582381729,2085.3779385171792,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Boris Faz,Opentech,Won,2016-11-20,2017-03-23,4704.0,1994.0,355.23,853.0,4821,123.0,Small,30.0,Established,1,11.0,4.0,Complex,0.5906432748538012,1710.0065359477123,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
Donn Cantrell,Silis,Won,2016-11-20,2017-03-14,5585.0,1994.0,2818.38,6290.0,5482,114.0,Large,30.0,Established,1,11.0,4.0,Complex,0.5745454545454546,1621.3090909090909,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
Elease Gluck,Zoomit,Won,2016-11-20,2017-03-09,25897.0,1992.0,324.19,978.0,26768,109.0,Small,32.0,Established,1,11.0,4.0,Complex,0.5555555555555556,2295.1984126984125,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
Kami Bicknell,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,2000.0,2952.73,5107.0,1096,103.0,Large,24.0,Established,1,11.0,4.0,Intermediate,0.5780730897009967,1163.4411764705883,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
Lajuana Vencill,Cancity,Lost,2016-11-20,2017-03-08,0.0,2001.0,718.62,2448.0,3393,108.0,Medium,23.0,Established,0,11.0,4.0,Complex,0.5,842.5627705627705,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Lajuana Vencill,Rangreen,Won,2016-11-20,2017-03-04,559.0,1987.0,2938.67,8775.0,550,104.0,Large,37.0,Established,1,11.0,4.0,Basic,0.5,842.5627705627705,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
Maureen Marcano,Green-Plus,Engaging,2016-11-20,,,2003.0,692.19,1922.0,550,,Medium,21.0,Established,0,11.0,4.0,Basic,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Niesha Huffines,dambase,Won,2016-11-20,2017-03-09,1033.0,1995.0,2173.98,2928.0,1096,109.0,Medium,29.0,Established,1,11.0,4.0,Intermediate,0.525,1011.2057142857143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Donn Cantrell,Kan-code,Won,2016-11-21,2017-03-21,462.0,1982.0,11698.03,34288.0,550,120.0,Enterprise,42.0,Established,1,11.0,4.0,Basic,0.5745454545454546,1621.3090909090909,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
Hayden Neloms,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,1987.0,405.59,1179.0,3393,100.0,Medium,37.0,Established,0,11.0,4.0,Complex,0.6445783132530121,1790.203947368421,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
Kary Hendrixson,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,1983.0,2871.35,9561.0,4821,113.0,Large,41.0,Established,1,11.0,4.0,Complex,0.5618279569892473,1356.113432835821,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Lajuana Vencill,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,1992.0,3922.42,6837.0,3393,114.0,Large,32.0,Established,1,11.0,4.0,Complex,0.5,842.5627705627705,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
Marty Freudenburg,Conecom,Won,2016-11-21,2017-03-01,4926.0,2005.0,1520.66,1806.0,4821,100.0,Medium,19.0,Mature,1,11.0,4.0,Complex,0.5350877192982456,1501.0051546391753,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
Zane Levy,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,2008.0,894.37,1593.0,1096,116.0,Medium,16.0,Mature,0,11.0,4.0,Intermediate,0.5551724137931034,1647.7701149425288,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
Corliss Cosme,Bioplex,Won,2016-11-22,2017-03-04,62.0,1991.0,326.82,1016.0,55,102.0,Medium,33.0,Established,1,11.0,4.0,Basic,0.5859375,1838.585152838428,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Darcel Schlecht,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,2007.0,86.68,187.0,4821,112.0,Small,17.0,Mature,1,11.0,4.0,Complex,0.5693311582381729,2085.3779385171792,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
Kami Bicknell,Plusstrip,Won,2016-11-22,2017-03-31,566.0,2002.0,349.81,315.0,550,129.0,Small,22.0,Established,1,11.0,4.0,Basic,0.5780730897009967,1163.4411764705883,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Marty Freudenburg,Toughzap,Won,2016-11-22,2017-03-03,508.0,1995.0,332.43,799.0,550,101.0,Small,29.0,Established,1,11.0,4.0,Basic,0.5350877192982456,1501.0051546391753,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Rosie Papadopoulos,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,1993.0,646.1,883.0,3393,118.0,Small,31.0,Established,0,11.0,4.0,Complex,0.5735294117647058,1902.2231404958677,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Versie Hillebrand,Codehow,Won,2016-11-22,2017-03-11,51.0,1998.0,2714.9,2641.0,55,109.0,Medium,26.0,Established,1,11.0,4.0,Basic,0.6027397260273972,710.9583333333334,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Vicki Laflamme,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,2013.0,98.79,96.0,4821,103.0,Small,11.0,Mature,1,11.0,4.0,Complex,0.5909090909090909,1378.6628242074928,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
