sales_agent,account,deal_stage,close_value,year_founded_at,revenue,number_of_employees,sales_price,sales_cycle_duration,company_size,company_age,company_age_category,is_won,engagement_month,engagement_quarter,product_complexity,agent_conversion_rate,agent_avg_deal_value,sector_employment,sector_entertainment,sector_finance,sector_marketing,sector_medical,sector_retail,sector_services,sector_software,sector_technolgy,sector_telecommunications,office_location_Belgium,office_location_Brazil,office_location_China,office_location_Germany,office_location_Italy,office_location_Japan,office_location_Jordan,office_location_Kenya,office_location_Korea,office_location_Norway,office_location_Panama,office_location_Philipines,office_location_Poland,office_location_Romania,office_location_United States,regional_office_Central,regional_office_East,regional_office_West,product_GTK 500,product_GTX Basic,product_GTX Plus Basic,product_GTX Plus Pro,product_GTX Pro,product_MG Advanced,product_MG Special,series_GTK,series_GTX,series_MG,revenue_per_employee,predicted_is_won,predicted_deal_stage
Boris Faz,Genco Pura Olive Oil Company,Engaging,,2007.0,894.33,1635.0,5482,47.98539710922366,Medium,17.0,Mature,,12.0,4.0,Complex,0.5906432748538012,1710.0065359477123,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,False,True,False,0.5469908256880734,1.0,Won
Daniell Hammack,Domzoom,Engaging,,1998.0,217.87,551.0,550,47.98539710922366,Small,26.0,Established,,12.0,4.0,Basic,0.5377358490566038,1947.7486631016043,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0,0,0,0,0,False,True,False,0.3954083484573503,1.0,Won
Rosie Papadopoulos,Plexzap,Engaging,,2001.0,2437.85,4874.0,55,47.98539710922366,Medium,23.0,Established,,12.0,4.0,Basic,0.5735294117647058,1902.2231404958677,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,0,0,1,False,False,True,0.5001743947476405,1.0,Won
Elease Gluck,Warephase,Engaging,,1997.0,2041.73,5276.0,26768,47.98539710922366,Large,27.0,Established,,12.0,4.0,Complex,0.5555555555555556,2295.1984126984125,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0,0,0,0,0,0,True,False,False,0.38698445792266867,1.0,Won
Elease Gluck,Blackzim,Engaging,,2009.0,497.11,1588.0,4821,47.98539710922366,Medium,15.0,Mature,,12.0,4.0,Complex,0.5555555555555556,2295.1984126984125,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.31304156171284636,1.0,Won
Zane Levy,Opentech,Engaging,,1994.0,355.23,853.0,4821,47.98539710922366,Small,30.0,Established,,12.0,4.0,Complex,0.5551724137931034,1647.7701149425288,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.4164478311840563,1.0,Won
Daniell Hammack,Finhigh,Engaging,,2006.0,1102.43,1759.0,1096,47.98539710922366,Medium,18.0,Mature,,12.0,4.0,Intermediate,0.5377358490566038,1947.7486631016043,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,1,0,0,0,0,False,True,False,0.6267367822626493,1.0,Won
Maureen Marcano,Treequote,Engaging,,1988.0,5266.09,8595.0,550,47.98539710922366,Large,36.0,Established,,12.0,4.0,Basic,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.6126922629435718,1.0,Won
Kami Bicknell,Gogozoom,Engaging,,2007.0,86.68,187.0,3393,47.98539710922366,Small,17.0,Mature,,12.0,4.0,Complex,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.4635294117647059,1.0,Won
Zane Levy,Green-Plus,Engaging,,2003.0,692.19,1922.0,1096,47.98539710922366,Medium,21.0,Established,,1.0,1.0,Intermediate,0.5551724137931034,1647.7701149425288,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.36014047866805415,1.0,Won
Corliss Cosme,dambase,Engaging,,1995.0,2173.98,2928.0,1096,47.98539710922366,Medium,29.0,Established,,1.0,1.0,Intermediate,0.5859375,1838.585152838428,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,1,0,0,0,0,False,True,False,0.7424795081967214,1.0,Won
Rosalina Dieter,Initech,Engaging,,1994.0,6395.05,20275.0,550,47.98539710922366,Enterprise,30.0,Established,,1.0,1.0,Basic,0.5714285714285714,2140.0272727272727,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.3154155363748459,1.0,Won
Violet Mclelland,Rundofase,Engaging,,1983.0,1008.06,1238.0,55,47.98539710922366,Medium,41.0,Established,,1.0,1.0,Basic,0.5727699530516432,639.5388601036269,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,0,0,1,False,False,True,0.8142649434571889,1.0,Won
Markita Hansen,Bioholding,Engaging,,2012.0,587.34,1356.0,55,47.98539710922366,Medium,12.0,Mature,,1.0,1.0,Basic,0.5118110236220472,1448.4229074889868,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0,0,0,1,False,False,True,0.433141592920354,1.0,Won
Corliss Cosme,Nam-zim,Engaging,,1987.0,405.59,1179.0,4821,47.98539710922366,Medium,37.0,Established,,1.0,1.0,Complex,0.5859375,1838.585152838428,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,1,0,0,False,True,False,0.34401187446988973,1.0,Won
Kami Bicknell,Plusstrip,Engaging,,2002.0,349.81,315.0,1096,47.98539710922366,Small,22.0,Established,,1.0,1.0,Intermediate,0.5780730897009967,1163.4411764705883,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,1.1105079365079364,0.0,Lost
Violet Mclelland,Funholding,Engaging,,1991.0,2819.5,7227.0,550,47.98539710922366,Large,33.0,Established,,1.0,1.0,Basic,0.5727699530516432,639.5388601036269,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0,0,0,0,0,False,True,False,0.3901342189013422,1.0,Won
Hayden Neloms,Vehement Capital Partners,Engaging,,1993.0,646.1,883.0,3393,47.98539710922366,Small,31.0,Established,,1.0,1.0,Complex,0.6445783132530121,1790.203947368421,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.7317100792751983,1.0,Won
James Ascencio,Iselectrics,Engaging,,2011.0,527.11,1428.0,4821,47.98539710922366,Medium,13.0,Mature,,1.0,1.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.369124649859944,1.0,Won
James Ascencio,Codehow,Engaging,,1998.0,2714.9,2641.0,3393,47.98539710922366,Medium,26.0,Established,,1.0,1.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,1.027981825066263,0.0,Lost
Vicki Laflamme,Scottech,Engaging,,2012.0,45.39,100.0,550,47.98539710922366,Small,12.0,Mature,,1.0,1.0,Basic,0.5909090909090909,1378.6628242074928,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.4539,1.0,Won
Corliss Cosme,Zoomit,Engaging,,1992.0,324.19,978.0,5482,47.98539710922366,Small,32.0,Established,,1.0,1.0,Complex,0.5859375,1838.585152838428,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,1,0,0,0,False,True,False,0.33148261758691205,1.0,Won
Corliss Cosme,Inity,Engaging,,1986.0,2403.58,8801.0,4821,47.98539710922366,Large,38.0,Established,,1.0,1.0,Complex,0.5859375,1838.585152838428,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,1,0,0,False,True,False,0.2731030564708556,1.0,Won
Elease Gluck,Mathtouch,Engaging,,1984.0,3027.46,9516.0,55,47.98539710922366,Large,40.0,Established,,1.0,1.0,Basic,0.5555555555555556,2295.1984126984125,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,1,False,False,True,0.31814417822614544,1.0,Won
Kami Bicknell,Acme Corporation,Engaging,,1996.0,1100.04,2822.0,5482,47.98539710922366,Medium,28.0,Established,,1.0,1.0,Complex,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,1,0,0,0,False,True,False,0.3898086463501063,1.0,Won
James Ascencio,Warephase,Engaging,,1997.0,2041.73,5276.0,1096,47.98539710922366,Large,27.0,Established,,1.0,1.0,Intermediate,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.38698445792266867,1.0,Won
Corliss Cosme,Globex Corporation,Engaging,,2000.0,1223.72,2497.0,4821,47.98539710922366,Medium,24.0,Established,,1.0,1.0,Complex,0.5859375,1838.585152838428,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,0,0,0,1,0,0,False,True,False,0.49007609130957147,1.0,Won
Kami Bicknell,Hatfan,Engaging,,1982.0,792.46,1299.0,1096,47.98539710922366,Medium,42.0,Established,,1.0,1.0,Intermediate,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.6100538876058507,1.0,Won
Corliss Cosme,Toughzap,Engaging,,1995.0,332.43,799.0,1096,47.98539710922366,Small,29.0,Established,,1.0,1.0,Intermediate,0.5859375,1838.585152838428,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,1,0,0,0,0,False,True,False,0.4160575719649562,1.0,Won
James Ascencio,Blackzim,Engaging,,2009.0,497.11,1588.0,4821,47.98539710922366,Medium,15.0,Mature,,1.0,1.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.31304156171284636,1.0,Won
Zane Levy,Konmatfix,Engaging,,1985.0,375.43,1190.0,55,47.98539710922366,Medium,39.0,Established,,1.0,1.0,Basic,0.5551724137931034,1647.7701149425288,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,False,False,True,0.3154873949579832,1.0,Won
Daniell Hammack,Zathunicon,Engaging,,2010.0,71.12,144.0,1096,47.98539710922366,Small,14.0,Mature,,1.0,1.0,Intermediate,0.5377358490566038,1947.7486631016043,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,1,0,0,0,0,False,True,False,0.49388888888888893,1.0,Won
Vicki Laflamme,Condax,Engaging,,2017.0,4.54,9.0,1096,47.98539710922366,Small,7.0,Young,,2.0,1.0,Intermediate,0.5909090909090909,1378.6628242074928,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.5044444444444445,1.0,Won
Corliss Cosme,Dontechi,Engaging,,1982.0,4618.0,10083.0,550,47.98539710922366,Enterprise,42.0,Established,,2.0,1.0,Basic,0.5859375,1838.585152838428,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0,0,0,0,0,False,True,False,0.4579986115243479,1.0,Won
Hayden Neloms,Cheers,Engaging,,1993.0,4269.9,6472.0,1096,47.98539710922366,Large,31.0,Established,,2.0,1.0,Intermediate,0.6445783132530121,1790.203947368421,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.6597496909765141,1.0,Won
Cassey Cress,Sumace,Engaging,,2000.0,167.89,493.0,550,47.98539710922366,Small,24.0,Established,,2.0,1.0,Basic,0.5620689655172414,1726.0114942528735,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,1,0,0,0,0,0,False,True,False,0.3405476673427992,1.0,Won
Elease Gluck,Mathtouch,Engaging,,1984.0,3027.46,9516.0,55,47.98539710922366,Large,40.0,Established,,2.0,1.0,Basic,0.5555555555555556,2295.1984126984125,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,1,False,False,True,0.31814417822614544,1.0,Won
Hayden Neloms,Isdom,Engaging,,2002.0,3178.24,4540.0,55,47.98539710922366,Medium,22.0,Established,,2.0,1.0,Basic,0.6445783132530121,1790.203947368421,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,False,False,True,0.7000528634361233,1.0,Won
Kami Bicknell,Zoomit,Engaging,,1992.0,324.19,978.0,4821,47.98539710922366,Small,32.0,Established,,2.0,1.0,Complex,0.5780730897009967,1163.4411764705883,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.33148261758691205,1.0,Won
Kami Bicknell,Y-corporation,Engaging,,1983.0,2871.35,9561.0,550,47.98539710922366,Large,41.0,Established,,2.0,1.0,Basic,0.5780730897009967,1163.4411764705883,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.30031900428825437,1.0,Won
Kami Bicknell,Umbrella Corporation,Engaging,,1998.0,2022.14,5113.0,4821,47.98539710922366,Large,26.0,Established,,2.0,1.0,Complex,0.5780730897009967,1163.4411764705883,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.3954899276354391,1.0,Won
Cassey Cress,Betatech,Engaging,,1986.0,647.18,1185.0,55,47.98539710922366,Medium,38.0,Established,,2.0,1.0,Basic,0.5620689655172414,1726.0114942528735,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,False,False,True,0.5461434599156118,1.0,Won
Elease Gluck,Genco Pura Olive Oil Company,Engaging,,2007.0,894.33,1635.0,550,47.98539710922366,Medium,17.0,Mature,,2.0,1.0,Basic,0.5555555555555556,2295.1984126984125,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0,0,0,0,0,False,True,False,0.5469908256880734,1.0,Won
Boris Faz,Golddex,Engaging,,2008.0,52.5,165.0,3393,47.98539710922366,Small,16.0,Mature,,2.0,1.0,Complex,0.5906432748538012,1710.0065359477123,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,0,1,0,False,False,True,0.3181818181818182,1.0,Won
Kami Bicknell,Scotfind,Engaging,,1996.0,6354.87,16780.0,550,47.98539710922366,Enterprise,28.0,Established,,2.0,1.0,Basic,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.3787169249106079,1.0,Won
Rosalina Dieter,Golddex,Engaging,,2008.0,52.5,165.0,3393,47.98539710922366,Small,16.0,Mature,,2.0,1.0,Complex,0.5714285714285714,2140.0272727272727,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.3181818181818182,1.0,Won
James Ascencio,Faxquote,Engaging,,1995.0,1825.82,5595.0,550,47.98539710922366,Large,29.0,Established,,2.0,1.0,Basic,0.6053811659192825,2007.4417475728155,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.32633065236818587,1.0,Won
Rosalina Dieter,Cheers,Engaging,,1993.0,4269.9,6472.0,3393,47.98539710922366,Large,31.0,Established,,2.0,1.0,Complex,0.5714285714285714,2140.0272727272727,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.6597496909765141,1.0,Won
Hayden Neloms,Opentech,Engaging,,1994.0,355.23,853.0,3393,47.98539710922366,Small,30.0,Established,,2.0,1.0,Complex,0.6445783132530121,1790.203947368421,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.4164478311840563,1.0,Won
Vicki Laflamme,Faxquote,Engaging,,1995.0,1825.82,5595.0,4821,47.98539710922366,Large,29.0,Established,,2.0,1.0,Complex,0.5909090909090909,1378.6628242074928,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,1,0,0,False,True,False,0.32633065236818587,1.0,Won
Markita Hansen,Vehement Capital Partners,Engaging,,1993.0,646.1,883.0,26768,47.98539710922366,Small,31.0,Established,,2.0,1.0,Complex,0.5118110236220472,1448.4229074889868,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0,0,0,0,0,0,True,False,False,0.7317100792751983,1.0,Won
Markita Hansen,Bioholding,Engaging,,2012.0,587.34,1356.0,3393,47.98539710922366,Medium,12.0,Mature,,2.0,1.0,Complex,0.5118110236220472,1448.4229074889868,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0,0,1,0,False,False,True,0.433141592920354,1.0,Won
Kary Hendrixson,Labdrill,Engaging,,1985.0,2741.37,9226.0,550,47.98539710922366,Large,39.0,Established,,2.0,1.0,Basic,0.5618279569892473,1356.113432835821,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.2971352698894429,1.0,Won
Elease Gluck,Betasoloin,Engaging,,1999.0,251.41,495.0,55,47.98539710922366,Small,25.0,Established,,2.0,1.0,Basic,0.5555555555555556,2295.1984126984125,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,False,False,True,0.5078989898989898,1.0,Won
Kami Bicknell,Faxquote,Engaging,,1995.0,1825.82,5595.0,550,47.98539710922366,Large,29.0,Established,,2.0,1.0,Basic,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.32633065236818587,1.0,Won
Kary Hendrixson,Donquadtech,Engaging,,1992.0,1712.68,3194.0,1096,47.98539710922366,Medium,32.0,Established,,2.0,1.0,Intermediate,0.5618279569892473,1356.113432835821,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.5362179085785849,1.0,Won
Markita Hansen,Newex,Engaging,,1991.0,1012.72,3492.0,3393,47.98539710922366,Medium,33.0,Established,,2.0,1.0,Complex,0.5118110236220472,1448.4229074889868,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,1,0,False,False,True,0.2900114547537228,1.0,Won
Violet Mclelland,Goodsilron,Engaging,,2000.0,2952.73,5107.0,4821,47.98539710922366,Large,24.0,Established,,2.0,1.0,Complex,0.5727699530516432,639.5388601036269,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,1,0,0,False,True,False,0.5781730957509301,1.0,Won
Daniell Hammack,Fasehatice,Engaging,,1990.0,4968.91,7523.0,550,47.98539710922366,Large,34.0,Established,,2.0,1.0,Basic,0.5377358490566038,1947.7486631016043,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0,0,0,0,0,False,True,False,0.6604958128406221,1.0,Won
Vicki Laflamme,Rundofase,Engaging,,1983.0,1008.06,1238.0,550,47.98539710922366,Medium,41.0,Established,,2.0,1.0,Basic,0.5909090909090909,1378.6628242074928,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.8142649434571889,0.0,Lost
Kary Hendrixson,Blackzim,Engaging,,2009.0,497.11,1588.0,5482,47.98539710922366,Medium,15.0,Mature,,2.0,1.0,Complex,0.5618279569892473,1356.113432835821,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,1,0,0,0,False,True,False,0.31304156171284636,1.0,Won
Maureen Marcano,Bluth Company,Engaging,,1993.0,1242.32,3027.0,3393,47.98539710922366,Medium,31.0,Established,,2.0,1.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.410412950115626,1.0,Won
Daniell Hammack,Y-corporation,Engaging,,1983.0,2871.35,9561.0,1096,47.98539710922366,Large,41.0,Established,,2.0,1.0,Intermediate,0.5377358490566038,1947.7486631016043,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,1,0,0,0,0,False,True,False,0.30031900428825437,1.0,Won
